subject,experiment_name,age,condition,trial_type,trial_index,choice_image,choice_audio,target_image,foil_image,test_audio,target_label,is_right,available_image1,available_image2,available_image3,available_image4
p105,1,5.33,active,learning,23,stims/8.png,stims/norm_that_noopy.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/7.png,stims/5.png
p105,1,5.33,active,learning,24,stims/2.png,stims/norm_that_roozer.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/7.png,stims/5.png
p105,1,5.33,active,learning,25,stims/5.png,stims/norm_it_manu.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/7.png,stims/5.png
p105,1,5.33,active,learning,26,stims/7.png,stims/norm_it_tesser.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/7.png,stims/5.png
p105,1,5.33,active,learning,27,stims/7.png,stims/norm_it_tesser.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/7.png,stims/5.png
p105,1,5.33,active,learning,28,stims/8.png,stims/norm_that_noopy.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/7.png,stims/5.png
p105,1,5.33,active,learning,29,stims/5.png,stims/norm_it_manu.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/7.png,stims/5.png
p105,1,5.33,active,learning,30,stims/8.png,stims/norm_that_noopy.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/7.png,stims/5.png
p105,1,5.33,active,test,31,stims/5.png,NA,stims/8.png,stims/5.png,stims/norm_find_noopy.wav,noopy,0,NA,NA,NA,NA
p105,1,5.33,active,test,32,stims/2.png,NA,stims/2.png,stims/7.png,stims/norm_find_roozer.wav,roozer,1,NA,NA,NA,NA
p105,1,5.33,active,test,33,stims/7.png,NA,stims/2.png,stims/7.png,stims/norm_find_roozer.wav,roozer,0,NA,NA,NA,NA
p105,1,5.33,active,test,34,stims/7.png,NA,stims/7.png,stims/2.png,stims/norm_where_tesser.wav,tesser,1,NA,NA,NA,NA
p105,1,5.33,active,test,35,stims/5.png,NA,stims/5.png,stims/8.png,stims/norm_find_manu.wav,manu,1,NA,NA,NA,NA
p105,1,5.33,active,test,36,stims/2.png,NA,stims/7.png,stims/2.png,stims/norm_where_tesser.wav,tesser,0,NA,NA,NA,NA
p105,1,5.33,active,test,37,stims/8.png,NA,stims/8.png,stims/5.png,stims/norm_find_noopy.wav,noopy,1,NA,NA,NA,NA
p105,1,5.33,active,test,38,stims/8.png,NA,stims/5.png,stims/8.png,stims/norm_find_manu.wav,manu,0,NA,NA,NA,NA
p106,1,4.09,active,fam-learning,1,stims/penguin.png,stims/norm_it_penguin.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p106,1,4.09,active,fam-learning,2,stims/pig.png,stims/norm_that_pig.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p106,1,4.09,active,fam-learning,3,stims/bear.png,stims/norm_it_bear.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p106,1,4.09,active,fam-learning,4,stims/cow.png,stims/norm_that_cow.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p106,1,4.09,active,familiar-test,5,stims/pig.png,NA,stims/pig.png,stims/bear.png,stims/norm_find_pig.wav,pig,1,NA,NA,NA,NA
p106,1,4.09,active,familiar-test,6,stims/penguin.png,NA,stims/cow.png,stims/penguin.png,stims/norm_where_penguin.wav,penguin,0,NA,NA,NA,NA
p106,1,4.09,active,learning,7,stims/1.png,stims/norm_that_tesser.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p106,1,4.09,active,learning,8,stims/3.png,stims/norm_it_manu.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p106,1,4.09,active,learning,9,stims/7.png,stims/norm_it_kita.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p106,1,4.09,active,learning,10,stims/5.png,stims/norm_it_finna.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p106,1,4.09,active,learning,11,stims/7.png,stims/norm_it_kita.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p106,1,4.09,active,learning,12,stims/3.png,stims/norm_it_manu.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p106,1,4.09,active,learning,13,stims/5.png,stims/norm_it_finna.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p106,1,4.09,active,learning,14,stims/1.png,stims/norm_that_tesser.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p106,1,4.09,active,test,15,stims/7.png,NA,stims/1.png,stims/7.png,stims/norm_find_tesser.wav,tesser,0,NA,NA,NA,NA
p106,1,4.09,active,test,16,stims/5.png,NA,stims/5.png,stims/3.png,stims/norm_where_finna.wav,finna,1,NA,NA,NA,NA
p106,1,4.09,active,test,17,stims/3.png,NA,stims/3.png,stims/5.png,stims/norm_find_manu.wav,manu,1,NA,NA,NA,NA
p106,1,4.09,active,test,18,stims/1.png,NA,stims/7.png,stims/1.png,stims/norm_find_kita.wav,kita,0,NA,NA,NA,NA
p106,1,4.09,active,test,19,stims/7.png,NA,stims/1.png,stims/7.png,stims/norm_find_tesser.wav,tesser,0,NA,NA,NA,NA
p106,1,4.09,active,test,20,stims/7.png,NA,stims/7.png,stims/1.png,stims/norm_find_kita.wav,kita,1,NA,NA,NA,NA
p106,1,4.09,active,test,21,stims/5.png,NA,stims/5.png,stims/3.png,stims/norm_where_finna.wav,finna,1,NA,NA,NA,NA
p106,1,4.09,active,test,22,stims/3.png,NA,stims/3.png,stims/5.png,stims/norm_find_manu.wav,manu,1,NA,NA,NA,NA
p106,1,4.09,active,learning,23,stims/6.png,stims/norm_that_noopy.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p106,1,4.09,active,learning,24,stims/8.png,stims/norm_that_beppo.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p106,1,4.09,active,learning,25,stims/4.png,stims/norm_it_soma.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p106,1,4.09,active,learning,26,stims/2.png,stims/norm_that_roozer.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p106,1,4.09,active,learning,27,stims/6.png,stims/norm_that_noopy.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p106,1,4.09,active,learning,28,stims/2.png,stims/norm_that_roozer.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p106,1,4.09,active,learning,29,stims/8.png,stims/norm_that_beppo.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p106,1,4.09,active,learning,30,stims/4.png,stims/norm_it_soma.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p106,1,4.09,active,test,31,stims/8.png,NA,stims/8.png,stims/4.png,stims/norm_where_beppo.wav,beppo,1,NA,NA,NA,NA
p106,1,4.09,active,test,32,stims/2.png,NA,stims/2.png,stims/6.png,stims/norm_find_roozer.wav,roozer,1,NA,NA,NA,NA
p106,1,4.09,active,test,33,stims/6.png,NA,stims/2.png,stims/6.png,stims/norm_find_roozer.wav,roozer,0,NA,NA,NA,NA
p106,1,4.09,active,test,34,stims/6.png,NA,stims/6.png,stims/2.png,stims/norm_where_noopy.wav,noopy,1,NA,NA,NA,NA
p106,1,4.09,active,test,35,stims/6.png,NA,stims/6.png,stims/2.png,stims/norm_where_noopy.wav,noopy,1,NA,NA,NA,NA
p106,1,4.09,active,test,36,stims/8.png,NA,stims/8.png,stims/4.png,stims/norm_where_beppo.wav,beppo,1,NA,NA,NA,NA
p106,1,4.09,active,test,37,stims/4.png,NA,stims/4.png,stims/8.png,stims/norm_where_soma.wav,soma,1,NA,NA,NA,NA
p106,1,4.09,active,test,38,stims/4.png,NA,stims/4.png,stims/8.png,stims/norm_where_soma.wav,soma,1,NA,NA,NA,NA
p107,1,4.8,active,fam-learning,1,stims/bear.png,stims/norm_it_bear.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p107,1,4.8,active,fam-learning,2,stims/pig.png,stims/norm_it_pig.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p107,1,4.8,active,fam-learning,3,stims/penguin.png,stims/norm_that_penguin.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p107,1,4.8,active,fam-learning,4,stims/cow.png,stims/norm_that_cow.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p107,1,4.8,active,familiar-test,5,stims/pig.png,NA,stims/pig.png,stims/bear.png,stims/norm_find_pig.wav,pig,1,NA,NA,NA,NA
p107,1,4.8,active,familiar-test,6,stims/penguin.png,NA,stims/cow.png,stims/penguin.png,stims/norm_where_penguin.wav,penguin,0,NA,NA,NA,NA
p107,1,4.8,active,learning,7,stims/4.png,stims/norm_that_kita.wav,NA,NA,NA,NA,NA,stims/8.png,stims/5.png,stims/6.png,stims/4.png
p107,1,4.8,active,learning,8,stims/6.png,stims/norm_it_soma.wav,NA,NA,NA,NA,NA,stims/8.png,stims/5.png,stims/6.png,stims/4.png
p107,1,4.8,active,learning,9,stims/5.png,stims/norm_that_beppo.wav,NA,NA,NA,NA,NA,stims/8.png,stims/5.png,stims/6.png,stims/4.png
p107,1,4.8,active,learning,10,stims/8.png,stims/norm_that_finna.wav,NA,NA,NA,NA,NA,stims/8.png,stims/5.png,stims/6.png,stims/4.png
p107,1,4.8,active,learning,11,stims/6.png,stims/norm_it_soma.wav,NA,NA,NA,NA,NA,stims/8.png,stims/5.png,stims/6.png,stims/4.png
p107,1,4.8,active,learning,12,stims/4.png,stims/norm_that_kita.wav,NA,NA,NA,NA,NA,stims/8.png,stims/5.png,stims/6.png,stims/4.png
p107,1,4.8,active,learning,13,stims/5.png,stims/norm_that_beppo.wav,NA,NA,NA,NA,NA,stims/8.png,stims/5.png,stims/6.png,stims/4.png
p107,1,4.8,active,learning,14,stims/8.png,stims/norm_that_finna.wav,NA,NA,NA,NA,NA,stims/8.png,stims/5.png,stims/6.png,stims/4.png
p107,1,4.8,active,test,15,stims/4.png,NA,stims/8.png,stims/4.png,stims/norm_find_finna.wav,finna,0,NA,NA,NA,NA
p107,1,4.8,active,test,16,stims/8.png,NA,stims/4.png,stims/8.png,stims/norm_find_kita.wav,kita,0,NA,NA,NA,NA
p107,1,4.8,active,test,17,stims/4.png,NA,stims/8.png,stims/4.png,stims/norm_find_finna.wav,finna,0,NA,NA,NA,NA
p107,1,4.8,active,test,18,stims/5.png,NA,stims/6.png,stims/5.png,stims/norm_find_soma.wav,soma,0,NA,NA,NA,NA
p107,1,4.8,active,test,19,stims/5.png,NA,stims/6.png,stims/5.png,stims/norm_find_soma.wav,soma,0,NA,NA,NA,NA
p107,1,4.8,active,test,20,stims/6.png,NA,stims/5.png,stims/6.png,stims/norm_where_beppo.wav,beppo,0,NA,NA,NA,NA
p107,1,4.8,active,test,21,stims/6.png,NA,stims/5.png,stims/6.png,stims/norm_where_beppo.wav,beppo,0,NA,NA,NA,NA
p107,1,4.8,active,test,22,stims/4.png,NA,stims/4.png,stims/8.png,stims/norm_find_kita.wav,kita,1,NA,NA,NA,NA
p107,1,4.8,active,learning,23,stims/2.png,stims/norm_it_tesser.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/7.png,stims/3.png
p107,1,4.8,active,learning,24,stims/3.png,stims/norm_that_roozer.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/7.png,stims/3.png
p107,1,4.8,active,learning,25,stims/7.png,stims/norm_it_noopy.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/7.png,stims/3.png
p107,1,4.8,active,learning,26,stims/1.png,stims/norm_it_manu.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/7.png,stims/3.png
p107,1,4.8,active,learning,27,stims/7.png,stims/norm_it_noopy.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/7.png,stims/3.png
p107,1,4.8,active,learning,28,stims/3.png,stims/norm_that_roozer.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/7.png,stims/3.png
p107,1,4.8,active,learning,29,stims/2.png,stims/norm_it_tesser.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/7.png,stims/3.png
p107,1,4.8,active,learning,30,stims/7.png,stims/norm_it_noopy.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/7.png,stims/3.png
p107,1,4.8,active,test,31,stims/7.png,NA,stims/2.png,stims/7.png,stims/norm_where_tesser.wav,tesser,0,NA,NA,NA,NA
p107,1,4.8,active,test,32,stims/1.png,NA,stims/3.png,stims/1.png,stims/norm_where_roozer.wav,roozer,0,NA,NA,NA,NA
p107,1,4.8,active,test,33,stims/1.png,NA,stims/3.png,stims/1.png,stims/norm_where_roozer.wav,roozer,0,NA,NA,NA,NA
p107,1,4.8,active,test,34,stims/2.png,NA,stims/2.png,stims/7.png,stims/norm_where_tesser.wav,tesser,1,NA,NA,NA,NA
p107,1,4.8,active,test,35,stims/3.png,NA,stims/1.png,stims/3.png,stims/norm_where_manu.wav,manu,0,NA,NA,NA,NA
p107,1,4.8,active,test,36,stims/3.png,NA,stims/1.png,stims/3.png,stims/norm_where_manu.wav,manu,0,NA,NA,NA,NA
p107,1,4.8,active,test,37,stims/7.png,NA,stims/7.png,stims/2.png,stims/norm_find_noopy.wav,noopy,1,NA,NA,NA,NA
p107,1,4.8,active,test,38,stims/7.png,NA,stims/7.png,stims/2.png,stims/norm_find_noopy.wav,noopy,1,NA,NA,NA,NA
p108,1,4.59,passive,fam-learning,1,stims/penguin.png,stims/norm_it_penguin.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p108,1,4.59,passive,fam-learning,2,stims/pig.png,stims/norm_that_pig.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p108,1,4.59,passive,fam-learning,3,stims/bear.png,stims/norm_it_bear.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p108,1,4.59,passive,fam-learning,4,stims/cow.png,stims/norm_that_cow.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p108,1,4.59,passive,familiar-test,5,stims/pig.png,NA,stims/pig.png,stims/bear.png,stims/norm_find_pig.wav,pig,1,NA,NA,NA,NA
p108,1,4.59,passive,familiar-test,6,stims/penguin.png,NA,stims/cow.png,stims/penguin.png,stims/norm_where_penguin.wav,penguin,0,NA,NA,NA,NA
p108,1,4.59,passive,learning,7,stims/1.png,stims/norm_that_tesser.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p108,1,4.59,passive,learning,8,stims/3.png,stims/norm_it_manu.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p108,1,4.59,passive,learning,9,stims/7.png,stims/norm_it_kita.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p108,1,4.59,passive,learning,10,stims/5.png,stims/norm_it_finna.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p108,1,4.59,passive,learning,11,stims/7.png,stims/norm_it_kita.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p108,1,4.59,passive,learning,12,stims/3.png,stims/norm_it_manu.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p108,1,4.59,passive,learning,13,stims/5.png,stims/norm_it_finna.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p108,1,4.59,passive,learning,14,stims/1.png,stims/norm_that_tesser.wav,NA,NA,NA,NA,NA,stims/7.png,stims/5.png,stims/1.png,stims/3.png
p108,1,4.59,passive,test,15,stims/1.png,NA,stims/1.png,stims/7.png,stims/norm_find_tesser.wav,tesser,1,NA,NA,NA,NA
p108,1,4.59,passive,test,16,stims/3.png,NA,stims/5.png,stims/3.png,stims/norm_where_finna.wav,finna,0,NA,NA,NA,NA
p108,1,4.59,passive,test,17,stims/5.png,NA,stims/3.png,stims/5.png,stims/norm_find_manu.wav,manu,0,NA,NA,NA,NA
p108,1,4.59,passive,test,18,stims/7.png,NA,stims/7.png,stims/1.png,stims/norm_find_kita.wav,kita,1,NA,NA,NA,NA
p108,1,4.59,passive,test,19,stims/1.png,NA,stims/1.png,stims/7.png,stims/norm_find_tesser.wav,tesser,1,NA,NA,NA,NA
p108,1,4.59,passive,test,20,stims/7.png,NA,stims/7.png,stims/1.png,stims/norm_find_kita.wav,kita,1,NA,NA,NA,NA
p108,1,4.59,passive,test,21,stims/3.png,NA,stims/5.png,stims/3.png,stims/norm_where_finna.wav,finna,0,NA,NA,NA,NA
p108,1,4.59,passive,test,22,stims/3.png,NA,stims/3.png,stims/5.png,stims/norm_find_manu.wav,manu,1,NA,NA,NA,NA
p108,1,4.59,passive,learning,23,stims/6.png,stims/norm_that_noopy.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p108,1,4.59,passive,learning,24,stims/8.png,stims/norm_that_beppo.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p108,1,4.59,passive,learning,25,stims/4.png,stims/norm_it_soma.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p108,1,4.59,passive,learning,26,stims/2.png,stims/norm_that_roozer.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p108,1,4.59,passive,learning,27,stims/6.png,stims/norm_that_noopy.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p108,1,4.59,passive,learning,28,stims/2.png,stims/norm_that_roozer.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p108,1,4.59,passive,learning,29,stims/8.png,stims/norm_that_beppo.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p108,1,4.59,passive,learning,30,stims/4.png,stims/norm_it_soma.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/4.png,stims/2.png
p108,1,4.59,passive,test,31,stims/8.png,NA,stims/8.png,stims/4.png,stims/norm_where_beppo.wav,beppo,1,NA,NA,NA,NA
p108,1,4.59,passive,test,32,stims/6.png,NA,stims/2.png,stims/6.png,stims/norm_find_roozer.wav,roozer,0,NA,NA,NA,NA
p108,1,4.59,passive,test,33,stims/6.png,NA,stims/2.png,stims/6.png,stims/norm_find_roozer.wav,roozer,0,NA,NA,NA,NA
p108,1,4.59,passive,test,34,stims/6.png,NA,stims/6.png,stims/2.png,stims/norm_where_noopy.wav,noopy,1,NA,NA,NA,NA
p108,1,4.59,passive,test,35,stims/2.png,NA,stims/6.png,stims/2.png,stims/norm_where_noopy.wav,noopy,0,NA,NA,NA,NA
p108,1,4.59,passive,test,36,stims/4.png,NA,stims/8.png,stims/4.png,stims/norm_where_beppo.wav,beppo,0,NA,NA,NA,NA
p108,1,4.59,passive,test,37,stims/8.png,NA,stims/4.png,stims/8.png,stims/norm_where_soma.wav,soma,0,NA,NA,NA,NA
p108,1,4.59,passive,test,38,stims/8.png,NA,stims/4.png,stims/8.png,stims/norm_where_soma.wav,soma,0,NA,NA,NA,NA
p109,1,3.03,active,fam-learning,1,stims/cow.png,stims/norm_that_cow.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p109,1,3.03,active,fam-learning,2,stims/bear.png,stims/norm_it_bear.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p109,1,3.03,active,fam-learning,3,stims/pig.png,stims/norm_that_pig.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p109,1,3.03,active,fam-learning,4,stims/cow.png,stims/norm_that_cow.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p109,1,3.03,active,familiar-test,5,stims/penguin.png,NA,stims/cow.png,stims/penguin.png,stims/norm_where_penguin.wav,penguin,0,NA,NA,NA,NA
p109,1,3.03,active,familiar-test,6,stims/bear.png,NA,stims/pig.png,stims/bear.png,stims/norm_find_pig.wav,pig,0,NA,NA,NA,NA
p109,1,3.03,active,learning,7,stims/7.png,stims/norm_it_finna.wav,NA,NA,NA,NA,NA,stims/8.png,stims/7.png,stims/4.png,stims/6.png
p109,1,3.03,active,learning,8,stims/4.png,stims/norm_that_kita.wav,NA,NA,NA,NA,NA,stims/8.png,stims/7.png,stims/4.png,stims/6.png
p109,1,3.03,active,learning,9,stims/6.png,stims/norm_it_tesser.wav,NA,NA,NA,NA,NA,stims/8.png,stims/7.png,stims/4.png,stims/6.png
p109,1,3.03,active,learning,10,stims/8.png,stims/norm_that_noopy.wav,NA,NA,NA,NA,NA,stims/8.png,stims/7.png,stims/4.png,stims/6.png
p109,1,3.03,active,learning,11,stims/8.png,stims/norm_that_noopy.wav,NA,NA,NA,NA,NA,stims/8.png,stims/7.png,stims/4.png,stims/6.png
p109,1,3.03,active,learning,12,stims/6.png,stims/norm_it_tesser.wav,NA,NA,NA,NA,NA,stims/8.png,stims/7.png,stims/4.png,stims/6.png
p109,1,3.03,active,learning,13,stims/4.png,stims/norm_that_kita.wav,NA,NA,NA,NA,NA,stims/8.png,stims/7.png,stims/4.png,stims/6.png
p109,1,3.03,active,learning,14,stims/7.png,stims/norm_it_finna.wav,NA,NA,NA,NA,NA,stims/8.png,stims/7.png,stims/4.png,stims/6.png
p109,1,3.03,active,test,15,stims/7.png,NA,stims/7.png,stims/6.png,stims/norm_where_finna.wav,finna,1,NA,NA,NA,NA
p109,1,3.03,active,test,16,stims/4.png,NA,stims/8.png,stims/4.png,stims/norm_find_noopy.wav,noopy,0,NA,NA,NA,NA
p109,1,3.03,active,test,17,stims/7.png,NA,stims/7.png,stims/6.png,stims/norm_where_finna.wav,finna,1,NA,NA,NA,NA
p109,1,3.03,active,test,18,stims/6.png,NA,stims/6.png,stims/7.png,stims/norm_where_tesser.wav,tesser,1,NA,NA,NA,NA
p109,1,3.03,active,test,19,stims/6.png,NA,stims/6.png,stims/7.png,stims/norm_where_tesser.wav,tesser,1,NA,NA,NA,NA
p109,1,3.03,active,test,20,stims/8.png,NA,stims/8.png,stims/4.png,stims/norm_find_noopy.wav,noopy,1,NA,NA,NA,NA
p109,1,3.03,active,test,21,stims/4.png,NA,stims/4.png,stims/8.png,stims/norm_find_kita.wav,kita,1,NA,NA,NA,NA
p109,1,3.03,active,test,22,stims/4.png,NA,stims/4.png,stims/8.png,stims/norm_find_kita.wav,kita,1,NA,NA,NA,NA
p109,1,3.03,active,learning,23,stims/2.png,stims/norm_it_roozer.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/5.png,stims/3.png
p109,1,3.03,active,learning,24,stims/5.png,stims/norm_it_soma.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/5.png,stims/3.png
p109,1,3.03,active,learning,25,stims/3.png,stims/norm_that_beppo.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/5.png,stims/3.png
p109,1,3.03,active,learning,26,stims/1.png,stims/norm_that_manu.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/5.png,stims/3.png
p109,1,3.03,active,learning,27,stims/5.png,stims/norm_it_soma.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/5.png,stims/3.png
p109,1,3.03,active,learning,28,stims/2.png,stims/norm_it_roozer.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/5.png,stims/3.png
p109,1,3.03,active,learning,29,stims/1.png,stims/norm_that_manu.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/5.png,stims/3.png
p109,1,3.03,active,learning,30,stims/3.png,stims/norm_that_beppo.wav,NA,NA,NA,NA,NA,stims/1.png,stims/2.png,stims/5.png,stims/3.png
p109,1,3.03,active,test,31,stims/5.png,NA,stims/5.png,stims/2.png,stims/norm_where_soma.wav,soma,1,NA,NA,NA,NA
p109,1,3.03,active,test,32,stims/2.png,NA,stims/2.png,stims/5.png,stims/norm_find_roozer.wav,roozer,1,NA,NA,NA,NA
p109,1,3.03,active,test,33,stims/1.png,NA,stims/3.png,stims/1.png,stims/norm_find_beppo.wav,beppo,0,NA,NA,NA,NA
p109,1,3.03,active,test,34,stims/3.png,NA,stims/1.png,stims/3.png,stims/norm_where_manu.wav,manu,0,NA,NA,NA,NA
p109,1,3.03,active,test,35,stims/3.png,NA,stims/1.png,stims/3.png,stims/norm_where_manu.wav,manu,0,NA,NA,NA,NA
p109,1,3.03,active,test,36,stims/5.png,NA,stims/5.png,stims/2.png,stims/norm_where_soma.wav,soma,1,NA,NA,NA,NA
p109,1,3.03,active,test,37,stims/3.png,NA,stims/3.png,stims/1.png,stims/norm_find_beppo.wav,beppo,1,NA,NA,NA,NA
p109,1,3.03,active,test,38,stims/2.png,NA,stims/2.png,stims/5.png,stims/norm_find_roozer.wav,roozer,1,NA,NA,NA,NA
p110,1,4.63,active,fam-learning,1,stims/bear.png,stims/norm_that_bear.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p110,1,4.63,active,fam-learning,2,stims/cow.png,stims/norm_that_cow.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p110,1,4.63,active,fam-learning,3,stims/penguin.png,stims/norm_it_penguin.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p110,1,4.63,active,fam-learning,4,stims/pig.png,stims/norm_it_pig.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p110,1,4.63,active,familiar-test,5,stims/pig.png,NA,stims/pig.png,stims/bear.png,stims/norm_find_pig.wav,pig,1,NA,NA,NA,NA
p110,1,4.63,active,familiar-test,6,stims/penguin.png,NA,stims/cow.png,stims/penguin.png,stims/norm_where_penguin.wav,penguin,0,NA,NA,NA,NA
p110,1,4.63,active,learning,7,stims/2.png,stims/norm_that_kita.wav,NA,NA,NA,NA,NA,stims/1.png,stims/3.png,stims/7.png,stims/2.png
p110,1,4.63,active,learning,8,stims/7.png,stims/norm_it_manu.wav,NA,NA,NA,NA,NA,stims/1.png,stims/3.png,stims/7.png,stims/2.png
p110,1,4.63,active,learning,9,stims/3.png,stims/norm_that_tesser.wav,NA,NA,NA,NA,NA,stims/1.png,stims/3.png,stims/7.png,stims/2.png
p110,1,4.63,active,learning,10,stims/1.png,stims/norm_it_beppo.wav,NA,NA,NA,NA,NA,stims/1.png,stims/3.png,stims/7.png,stims/2.png
